taxon_group,verbatim_name,name,"name to use (if different from ""name"")",name comment field,Comment,notes,Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,Corrections to pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name
benthic_forams,Nodosaria spp.,Nodosaria spp.,,,,"in PBDB, so will be classified correctly",,,Nodosaria,,,,spp.,,,,,1952,Nodosaria,genus,,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nodosaria velascoensis,Nodosaria velascoensis,,,,"in PBDB, so will be classified correctly",,,Nodosaria ,,,,velascoensis,,,,,1952,Nodosaria,genus,,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nodosarids (elongate forms),Nodosarids (elongate forms),Nodosaria spp.,Nodosarids (elongate forms),,Ask bf person,,,Nodosaria,,,,spp.,,,elongate forms,,1952,Nodosaria,genus,,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nonion ?,Nonion ?,? Nonion sp.,,,"in PBDB, but classification differs to WoRMS",,?,Nonion,,,,sp.,,,,,1955,Nonion,genus,,82211,Nonionidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nonion commune,Nonion commune,,,,"in PBDB, but classification differs to WoRMS",,,Nonion,,,,commune,,,,,1955,Nonion,genus,,82211,Nonionidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nonion germanicus,Nonion germanicus,,,,"in PBDB, but classification differs to WoRMS",,,Nonion,,,,germanicus,,,,,1955,Nonion,genus,,82211,Nonionidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nonion havanense,Nonion havanense,,,,"in PBDB, but classification differs to WoRMS",,,Nonion,,,,havanense,,,,,1955,Nonion,genus,,82211,Nonionidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nonion japonicum,Nonion japonicum,,,,"in PBDB, but classification differs to WoRMS",,,Nonion,,,,japonicum,,,,,1955,Nonion,genus,,82211,Nonionidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nonion sp.,Nonion sp.,,,,"in PBDB, but classification differs to WoRMS",,,Nonion,,,,sp.,,,,,1955,Nonion,genus,,82211,Nonionidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nonion spp.,Nonion spp.,,,,"in PBDB, but classification differs to WoRMS",,,Nonion,,,,spp.,,,,,1955,Nonion,genus,,82211,Nonionidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nonionella basispinata,Nonionella basispinata,,,,"in PBDB, but classification differs to WoRMS",,,Nonionella,,,,basispinata,,,,,1956,Nonionella,genus,,82211,Nonionidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nonionella bradii,Nonionella bradii,,,,"in PBDB, but classification differs to WoRMS",,,Nonionella,,,,bradii,,,,,1956,Nonionella,genus,,82211,Nonionidae,,,,,288974,Foraminifera,212476,Rhizaria
